CLIENT NAME,CLIENT EMAIL,PROJECT,FEE,FREELANCER,COMMISSION,FREELANCER EMAIL,START,END,EMP ID,STATUS
RS ENTERPRISES group,brila@gmail.com,website ui interface,1000,ravi kumar,10,ravikumar@gmail.com,5/16/23,5/16/23,9453241933@29oct,0
jai shri ram har har mahadev group,birla@gmail.com,graphics,1000,om bhai,10,om@gmail.com,5/16/23,5/17/23,test1@123,0
hello wolrd,jaishriram@gmail.com,asdfghjkl,45645,asdfghjkl,4,asdfghjkl@asdfghjkl.asdfghjk,5/16/23,5/17/23,9453241933@29oct,0
asdfg,sdfg@sdfgh.com,dfghj,456987123,as,10,dfgh@fgh.com,5/16/23,5/16/22,test1@123,1
helo,helo@gmali.com,fgh,200,helloworld,10,lalla@gmail.com,5/16/23,5/17/23,test1@123,0
jai shri ram,ramji@email.com,webpage,1425,ravi bhai,10,ravi3@gmail.com,5/16/23,5/16/23,9457241933@29oct,1
asdfghjkl456,qwertyuio456@gmail.com,456qwertyu4556,456123,asdfghjklqwertyuiop,4,asdfg@gmail.com,5/16/23,5/16/23,test1@123,0
asdfg,sdfg@sdfgh.com,dfghj,456987123,as,10,dfgh@fgh.com,5/16/23,5/17/23,9453241933@29oct,0
helo,helo@gmali.com,fgh,200,helloworld,10,lalla@gmail.com,5/16/23,5/17/23,9453241933@29oct,0
asdfg,sdfg@sdfgh.com,dfghj,456987123,as,10,dfgh@fgh.com,5/16/23,5/17/23,test1@123,1
helo,helo@gmali.com,fgh,200,helloworld,10,lalla@gmail.com,5/16/23,5/17/23,9453241933@29oct,0
jai shri ram,ramji@email.com,webpage,1425,ravi bhai,10,ravi3@gmail.com,5/16/23,5/16/23,9453241533@29oct,1
asdfghjkl456,qwertyuio456@gmail.com,456qwertyu4556,456123,asdfghjklqwertyuiop,4,asdfg@gmail.com,5/16/23,5/16/23,test1@123,1
JAI SHRI RAM,BIRLA@GMAIL.COM,HAGFT,45,raju bhai,10,rajubhai@gmail.com,5/16/23,5/18/23,9453241933@29oct,0
nirmit pratap singh,balaji.nirmit@gmail.com,machine learning,50,nrimt,4,hero@gmail.com,5/16/23,5/25/23,9453241933@29oct,0
har har mahadev,mahadev@gmail.com,webpage,1000,raju bhai,10,rajubhai@gmail.com,5/16/23,5/17/23,test1@123,0
