CLIENT NAME,CLIENT EMAIL,PROJECT,FEE,FREELANCER,COMMISSION,FREELANCER EMAIL,START,END,EMP ID,STATUS
RS ENTERPRISES group,brila@gmail.com,website ui interface,1000,ravi kumar,10,ravikumar@gmail.com,5/16/23,5/16/23,9453241933@29oct,0
jai shri ram har har mahadev group,birla@gmail.com,graphics,1000,om bhai,10,om@gmail.com,5/16/23,5/17/23,9453241933@29oct,0
hello wolrd,jaishriram@gmail.com,asdfghjkl,45645,asdfghjkl,4,asdfghjkl@asdfghjkl.asdfghjk,5/16/23,5/17/23,9453241933@29oct,0
asdfg,sdfg@sdfgh.com,dfghj,456987123,as,10,dfgh@fgh.com,5/16/23,5/17/23,9453241933@29oct,0
helo,helo@gmali.com,fgh,200,helloworld,10,lalla@gmail.com,5/16/23,5/17/23,9453241933@29oct,0
jai shri ram,ramji@email.com,webpage,1425,ravi bhai,10,ravi3@gmail.com,5/16/23,5/16/23,9457241933@29oct,1
asdfghjkl456,qwertyuio456@gmail.com,456qwertyu4556,456123,asdfghjklqwertyuiop,4,asdfg@gmail.com,5/16/23,5/16/23,9453241933@29oct,0
asdfg,sdfg@sdfgh.com,dfghj,456987123,as,10,dfgh@fgh.com,5/16/23,5/17/23,9453241933@29oct,0
helo,helo@gmali.com,fgh,200,helloworld,10,lalla@gmail.com,5/16/23,5/17/23,9453241933@29oct,0
jai shri ram,ramji@email.com,dfghj,456987123,as,10,dfgh@fgh.com,5/16/23,5/17/23,9453281933@29oct,1
helo,helo@gmali.com,fgh,200,helloworld,10,lalla@gmail.com,5/16/23,5/17/23,9453241933@29oct,0
jai shri ram,ramji@email.com,webpage,1425,ravi bhai,10,ravi3@gmail.com,5/16/23,5/16/23,9453241533@29oct,1
asdfghjkl456,qwertyuio456@gmail.com,456qwertyu4556,456123,asdfghjklqwertyuiop,4,asdfg@gmail.com,5/16/23,5/16/23,9453242933@29oct,1
JAI SHRI RAM,BIRLA@GMAIL.COM,HAGFT,45,raju bhai,10,rajubhai@gmail.com,5/16/23,5/18/23,9453241933@29oct,0
nirmit pratap singh,balaji.nirmit@gmail.com,machine learning,50,nrimt,4,hero@gmail.com,5/16/23,5/25/23,9453241933@29oct,0
har har mahadev,mahadev@gmail.com,webpage,1000,raju bhai,10,rajubhai@gmail.com,5/16/23,5/17/23,9453241933@29oct,0
test1,test1@gmail.com,web dev helo helo,456,testf1,10,testf1@gmail.com,5/24/23,6/14/23,9453241933@29oct,0
test2,test2@gamil.com,web dev,477,test2f,45,test2f@gamil.com,5/24/23,6/28/23,9453241933@29oct,0
test1,test1@gmail.com,project,457,test1f,1,testf1@gmail.com,5/24/23,6/8/23,9453241933@29oct,1
test2,ramji@emai.com,fghjk,45,fghj,4,dfg@gamil.com,5/24/23,5/19/23,9453241933@29oct,1
test3,ramji@emil.com,dfghj,456,dfgh,5,sdfgh@gmai.com,5/24/23,6/2/23,9453241933@29oct,1
test4,ramji@gmail.com,dfgh,456,df,10,dfgh@fgh.fgh,5/24/23,5/25/23,9453241933@29oct,1
test5,ramji@email.com,hgfd,456,asdfgh,4,asdf@sdfgh.cv,5/20/23,5/25/23,9453241933@29oct,1
test1,test1@gmail.com,project,457,test1f,1,testf1@gmail.com,5/29/23,6/1/23,9453241933@29oct,0
